race_id,driver_id,team_id,start_position
38,87,28,19
39,106,1,1
39,60,1,2
39,57,22,3
39,94,14,4
39,109,14,5
39,83,22,6
39,93,2,7
39,108,2,8
39,88,16,9
39,104,16,10
39,75,31,11
39,70,13,12
39,79,13,13
39,6,30,14
39,102,30,15
39,103,31,16
39,87,28,17
39,67,28,18
39,110,11,19
39,56,11,20
40,83,22,1
40,60,1,2
40,94,14,3
40,106,1,4
40,57,22,5
40,109,14,6
40,93,2,7
40,108,2,8
40,79,13,9
40,104,16,10
40,70,13,11
40,87,28,12
40,88,16,13
40,103,31,14
40,67,28,15
40,102,30,16
40,6,30,17
40,110,11,18
40,56,11,19
40,75,31,20
41,94,14,1
41,60,1,2
41,57,22,3
41,83,22,4
41,109,14,5
41,104,16,6
41,67,28,7
41,6,30,8
41,87,28,9
41,108,2,10
41,79,13,11
41,102,30,12
41,70,13,13
41,106,1,14
41,75,31,15
41,88,16,16
41,103,31,17
41,110,11,18
41,56,11,19
41,93,2,20
42,57,22,1
42,94,14,2
42,106,1,3
42,60,1,4
42,109,14,5
42,108,2,6
42,79,13,7
42,93,2,8
42,70,13,9
42,75,31,10
42,104,16,11
42,103,31,12
42,88,16,13
42,87,28,14
42,67,28,15
42,102,30,16
42,6,30,17
42,110,11,18
42,56,11,19
42,83,22,20
43,83,22,1
43,94,14,2
43,108,2,3
43,109,14,4
43,57,22,5
43,75,31,6
43,106,1,7
43,93,2,8
43,103,31,9
43,79,13,10
43,60,1,11
43,104,32,12
43,88,32,13
43,101,13,14
43,67,28,15
43,87,28,16
43,110,11,17
43,102,30,18
43,6,30,19
43,111,11,20
44,57,22,1
44,94,14,2
44,93,2,3
44,83,22,4
44,101,13,5
44,109,14,6
44,104,32,7
44,79,13,8
44,108,2,9
44,60,1,10
44,110,11,11
44,103,31,12
44,88,32,13
44,106,1,14
44,87,28,15
44,6,30,16
44,75,31,17
44,111,11,18
44,102,30,19
45,57,22,1
45,83,22,2
45,103,31,3
45,75,31,4
45,60,1,5
45,106,1,6
45,94,14,7
45,108,2,8
45,93,2,9
45,104,32,10
45,79,13,11
45,110,11,12
45,109,14,13
45,101,13,14
45,111,11,15
45,87,28,16
45,88,32,17
45,67,28,18
45,102,30,19
45,6,30,20
46,57,22,1
46,83,22,2
46,94,14,3
46,106,1,4
46,108,2,5
46,103,31,6
46,93,2,7
46,79,13,8
46,101,13,9
46,60,1,10
46,104,32,11
46,109,14,12
46,70,31,13
46,87,28,14
46,102,30,15
46,6,30,16
46,67,28,17
46,111,11,18
46,88,32,19
46,110,11,20
47,83,22,1
47,57,22,2
47,70,31,3
47,94,14,4
47,79,13,5
47,103,31,6
47,104,32,7
47,106,1,8
47,109,14,9
47,108,2,10
47,60,1,11
47,93,2,12
47,67,28,13
47,101,13,14
47,110,11,15
47,88,32,16
47,87,28,17
47,111,11,18
47,102,30,19
47,6,30,20
48,57,22,1
48,83,22,2
48,94,14,3
48,75,31,4
48,103,31,5
48,109,14,6
48,93,2,7
48,108,2,8
48,106,1,9
48,104,32,10
48,60,1,11
48,88,32,12
48,79,13,13
48,6,30,14
48,101,13,15
48,87,28,16
48,67,28,17
48,110,11,18
48,111,11,19
48,102,30,20
49,57,22,1
49,83,22,2
49,94,14,3
49,79,13,4
49,109,14,5
49,101,13,6
49,93,2,7
49,75,31,8
49,103,31,9
49,108,2,10
49,88,32,11
49,104,32,12
49,106,1,13
49,60,1,14
49,110,11,15
49,6,30,16
49,67,28,17
49,102,30,18
49,111,11,19
49,87,28,20
50,57,22,1
50,83,22,2
50,93,2,3
50,75,31,4
50,94,14,5
50,108,2,6
50,79,13,7
50,103,31,8
50,109,14,9
50,104,32,10
50,88,32,11
50,101,13,12
50,106,1,13
50,6,30,14
50,87,28,15
50,67,28,16
50,60,1,17
50,102,30,18
50,110,11,19
50,111,11,20
51,57,22,1
51,83,22,2
51,94,14,3
51,109,14,4
51,106,1,5
51,103,31,6
51,75,31,7
51,79,13,8
51,93,2,9
51,101,13,10
51,108,2,11
51,88,32,12
51,6,30,13
51,60,1,14
51,67,28,15
51,104,32,16
51,102,30,17
51,110,11,18
51,111,11,19
51,87,28,20
52,57,22,1
52,94,14,2
52,83,22,3
52,75,31,4
52,79,13,5
52,93,2,6
52,101,13,7
52,108,2,8
52,104,32,9
52,106,1,10
52,88,32,11
52,103,31,12
52,110,11,13
52,60,1,14
52,109,14,15
52,67,28,16
52,102,30,17
52,87,28,18
52,6,30,19
52,111,11,20
53,83,22,1
53,57,22,2
53,94,14,3
53,106,1,4
53,109,14,5
53,79,13,6
53,101,13,7
53,108,2,8
53,75,31,9
53,93,2,10
53,60,1,11
53,104,32,12
53,88,32,13
53,102,30,14
53,87,28,15
53,67,28,16
53,110,11,17
53,111,11,18
53,6,30,19
53,70,31,20
54,57,22,1
54,83,22,2
54,94,14,3
54,106,1,4
54,75,31,5
54,109,14,6
54,93,2,7
54,108,2,8
54,104,32,9
54,79,13,10
54,101,13,11
54,103,31,12
54,88,32,13
54,110,11,14
54,60,1,15
54,6,30,16
54,102,30,17
54,67,28,18
54,87,28,19
54,111,11,20
55,83,22,1
55,57,22,2
55,94,14,3
55,104,32,4
55,79,13,5
55,109,14,6
55,106,1,7
55,88,32,8
55,108,2,9
55,93,2,10
55,75,31,11
55,101,13,12
55,110,11,13
55,60,1,14
55,103,31,15
55,67,28,16
55,87,28,17
55,6,30,18
55,111,11,19
55,102,30,20
56,103,31,1
56,94,14,2
56,75,31,3
56,109,14,4
56,79,13,5
56,57,22,6
56,101,13,7
56,6,30,8
56,83,22,9
56,102,30,10
56,60,1,11
56,106,1,12
56,87,28,13
56,108,2,14
56,93,2,15
56,88,32,16
56,67,28,17
56,111,11,18
56,104,32,19
56,110,11,20
57,57,22,1
57,83,22,2
57,94,14,3
57,109,14,4
57,75,31,5
57,79,13,6
57,101,13,7
57,104,32,8
57,108,2,9
57,88,32,10
57,60,1,11
57,106,1,12
57,103,31,13
57,110,11,14
57,93,2,15
57,102,30,16
57,6,30,17
57,87,28,18
57,67,28,19
57,111,11,20
