race_id,driver_id,team_id,fastest_lap_time,lap_number
42,57,2,1:39.283,53
42,83,2,1:39.715,31
42,60,1,1:40.128,55
42,106,1,1:40.442,44
42,94,3,1:41.119,55
42,79,5,1:41.190,51
42,93,4,1:41.294,43
42,109,3,1:42.219,49
42,88,9,1:42.222,42
42,104,9,1:42.414,53
42,75,12,1:42.639,39
42,108,4,1:43.026,50
42,110,8,1:43.074,50
42,6,11,1:43.142,25
42,102,11,1:43.256,28
42,70,5,1:43.274,52
42,103,12,1:43.326,25
42,67,10,1:43.666,33
42,87,10,1:43.790,22
42,56,8,1:44.500,51
43,108,4,1:07.475,71
43,83,2,1:07.657,68
43,57,2,1:07.712,67
43,106,1,1:07.901,64
43,93,4,1:07.974,63
43,75,12,1:08.305,63
43,109,3,1:08.432,50
43,60,1,1:08.623,71
43,102,11,1:08.796,70
43,101,5,1:08.932,64
43,104,13,1:09.025,64
43,6,11,1:09.031,48
43,88,13,1:09.135,50
43,110,8,1:09.317,49
43,94,3,1:09.351,5
43,111,8,1:09.662,63
43,67,10,1:10.228,46
43,103,12,1:10.326,4
43,79,5,1:10.610,8
43,87,10,1:10.720,23
44,93,4,1:05.619,68
44,94,3,1:06.145,70
44,57,2,1:06.719,68
44,75,12,1:07.188,68
44,108,4,1:07.193,66
44,109,3,1:07.299,67
44,83,2,1:07.534,62
44,104,13,1:07.827,69
44,79,5,1:07.832,65
44,103,12,1:07.833,65
44,87,10,1:08.009,69
44,67,10,1:08.047,69
44,88,13,1:08.378,60
44,6,11,1:08.382,57
44,102,11,1:08.512,54
44,110,8,1:08.601,36
44,111,8,1:08.806,68
44,101,5,1:09.321,22
44,106,1,1:35.379,3
45,57,2,1:16.627,70
45,83,2,1:17.665,66
45,103,12,1:18.973,68
45,94,3,1:19.184,60
45,109,3,1:19.440,68
45,93,4,1:19.457,67
45,79,5,1:19.532,46
45,108,4,1:19.945,42
45,110,8,1:19.984,67
45,75,12,1:20.090,39
45,102,11,1:20.096,44
45,6,11,1:20.232,61
45,101,5,1:20.261,40
45,60,1,1:20.363,49
45,87,10,1:20.477,68
45,106,1,1:20.821,64
45,67,10,1:20.889,67
45,88,13,1:20.946,51
45,111,8,1:21.198,64
45,104,13,1:23.939,10
46,94,3,1:27.097,52
46,109,3,1:28.689,52
46,57,2,1:29.238,45
46,83,2,1:29.265,41
46,79,5,1:29.482,49
46,101,5,1:29.491,50
46,104,13,1:29.603,52
46,67,10,1:29.782,49
46,106,1,1:29.813,49
46,93,4,1:29.948,47
46,6,11,1:29.973,49
46,108,4,1:30.058,41
46,103,12,1:30.475,44
46,111,8,1:30.501,44
46,60,1,1:30.537,44
46,110,8,1:30.862,41
46,102,11,1:30.977,49
46,88,13,1:32.443,11
47,57,2,1:28.451,43
47,94,3,1:29.465,46
47,109,3,1:29.477,46
47,83,2,1:29.765,44
47,111,8,1:29.950,48
47,70,12,1:30.087,52
47,104,13,1:30.092,52
47,106,1,1:30.552,39
47,93,4,1:30.556,49
47,101,5,1:30.575,50
47,108,4,1:30.698,49
47,88,13,1:30.738,52
47,60,1,1:30.785,49
47,67,10,1:30.793,51
47,103,12,1:30.877,45
47,79,5,1:31.168,39
47,110,8,1:31.408,50
47,6,11,1:31.756,30
47,102,11,1:31.826,37
47,87,10,1:31.830,39
48,83,2,1:18.183,66
48,57,2,1:19.822,63
48,67,10,1:20.409,64
48,94,3,1:21.477,53
48,93,4,1:21.771,59
48,102,11,1:21.801,47
48,6,11,1:21.888,47
48,103,12,1:22.024,56
48,111,8,1:22.030,60
48,101,5,1:22.174,65
48,109,3,1:22.194,41
48,88,13,1:22.336,47
48,108,4,1:22.392,56
48,79,5,1:22.464,51
48,110,8,1:22.503,37
48,75,12,1:22.515,58
48,104,13,1:22.543,44
48,60,1,1:22.707,48
48,87,10,1:23.474,64
48,106,1,1:23.968,35
49,79,5,1:47.483,44
49,57,2,1:47.758,28
49,104,13,1:47.839,29
49,106,1,1:47.840,26
49,83,2,1:47.983,27
49,111,8,1:48.048,32
49,87,10,1:48.083,37
49,94,3,1:48.305,27
49,75,12,1:48.389,20
49,101,5,1:48.540,44
49,108,4,1:48.552,39
49,109,3,1:48.736,27
49,103,12,1:49.136,34
49,6,11,1:49.822,28
49,88,13,1:49.832,28
49,60,1,1:49.958,31
49,67,10,1:50.018,28
49,110,8,1:51.754,5
49,102,11,1:51.793,9
50,57,2,1:22.746,34
50,93,4,1:23.882,40
50,103,12,1:23.897,42
50,79,5,1:23.898,38
50,83,2,1:23.961,51
50,104,13,1:24.037,34
50,108,4,1:24.232,50
50,75,12,1:24.336,50
50,110,8,1:24.421,39
50,88,13,1:24.479,44
50,101,5,1:24.490,52
50,67,10,1:24.785,48
50,6,11,1:24.835,29
50,102,11,1:24.856,43
50,109,3,1:24.926,48
50,111,8,1:24.999,39
50,94,3,1:25.539,10
50,87,10,1:25.787,10
50,106,1,1:26.026,19
50,60,1,1:27.107,4
51,57,2,1:18.833,58
51,83,2,1:19.432,53
51,109,3,1:20.039,51
51,79,5,1:20.426,57
51,75,12,1:20.632,59
51,6,11,1:21.164,59
51,108,4,1:21.198,59
51,60,1,1:21.202,59
51,106,1,1:21.229,50
51,88,13,1:21.458,51
51,110,8,1:21.645,58
51,103,12,1:22.068,42
51,67,10,1:22.263,59
51,111,8,2:11.365,6
51,101,5,2:11.793,6
51,102,11,2:13.809,4
51,87,10,2:13.812,4
51,93,4,2:14.103,5
52,83,2,1:37.030,51
52,104,13,1:37.231,50
52,94,3,1:37.332,53
52,110,8,1:37.352,52
52,108,4,1:37.377,50
