flag_yellow_count,flag_double_yellow_count,flag_red_count,flag_clear_count,safety_car_deployments,virtual_safety_car_deployments,race_id,session,total_sc_laps,total_vsc_laps
7,0,2,10,0,0,54,FP2,,
3,0,1,5,0,0,54,FP3,,
3,0,0,3,0,0,54,Qualifying,,
1,0,0,4,0,0,54,Race,0.0,0.0
11,6,1,11,0,1,52,FP1,,
4,4,0,3,0,0,52,FP2,,
7,5,0,5,0,0,52,FP3,,
0,2,1,3,0,0,52,Qualifying,,
1,4,0,5,1,1,52,Race,5.0,1.0
5,4,0,9,0,2,58,FP1,,
2,1,0,3,0,0,58,FP2,,
1,0,0,1,0,0,58,FP3,,
0,0,0,0,0,0,58,Qualifying,,
8,2,0,11,2,2,58,Race,13.0,2.0
1,0,0,1,0,0,48,FP1,,
0,0,0,0,0,0,48,FP2,,
1,0,1,2,0,0,48,FP3,,
0,0,0,0,0,0,48,Qualifying,,
2,2,0,2,0,0,48,Race,0.0,0.0
2,0,1,3,0,1,44,FP1,,
4,1,1,5,0,0,44,FP2,,
6,3,1,7,0,0,44,Qualifying,,
2,0,0,3,1,0,44,Race,3.0,0.0
6,3,1,10,0,1,56,FP1,,
30,4,0,32,0,0,56,FP2,,
12,1,0,15,0,0,56,FP3,,
18,10,2,24,0,0,56,Qualifying,,
19,12,0,26,0,1,56,Race,0.0,3.0
0,1,0,1,0,0,51,FP1,,
6,6,2,12,0,0,51,FP2,,
2,0,0,2,0,0,51,FP3,,
2,1,0,3,0,0,51,Qualifying,,
1,3,2,6,3,0,51,Race,6.0,0.0
1,0,0,1,0,0,81,FP1,,
1,2,1,4,0,0,81,FP2,,
0,0,0,0,0,0,81,FP3,,
7,5,1,13,0,0,81,Qualifying,,
3,3,0,8,1,1,81,Race,5.0,2.0
5,0,0,5,0,0,68,FP1,,
1,0,0,3,0,0,68,FP2,,
1,0,0,1,0,0,68,FP3,,
0,0,0,0,0,0,68,Qualifying,,
2,2,0,5,1,0,68,Race,3.0,0.0
10,4,0,13,0,1,65,FP1,,
17,1,1,19,0,1,65,FP2,,
11,2,1,12,0,1,65,FP3,,
7,8,4,19,0,0,65,Qualifying,,
12,11,1,23,2,0,65,Race,5.0,0.0
0,0,0,0,0,0,60,FP1,,
2,2,0,3,0,0,60,FP2,,
2,0,0,2,0,0,60,FP3,,
2,1,0,3,0,0,60,Qualifying,,
5,1,0,7,1,1,60,Race,3.0,2.0
3,2,0,10,0,0,71,FP1,,
3,3,2,7,0,0,71,FP2,,
5,1,0,10,0,0,71,FP3,,
2,3,1,5,0,0,71,Qualifying,,
1,1,2,3,0,0,71,Race,0.0,0.0
0,0,0,0,0,0,78,FP1,,
0,0,0,0,0,0,78,FP2,,
0,0,0,0,0,0,78,Qualifying,,
0,4,0,11,1,2,78,Race,4.0,5.0
0,0,1,1,0,0,61,FP1,,
3,2,1,7,0,1,61,FP2,,
4,0,1,5,0,0,61,FP3,,
0,1,1,2,0,0,61,Qualifying,,
16,1,1,22,2,0,61,Race,5.0,0.0
5,0,0,5,0,0,66,FP1,,
1,0,0,2,0,1,66,FP2,,
1,0,0,1,0,0,66,FP3,,
2,0,2,4,0,0,66,Qualifying,,
0,0,0,0,0,0,66,Race,0.0,0.0
1,1,0,2,0,0,69,FP1,,
1,0,0,1,0,0,69,FP2,,
0,0,0,0,0,0,69,Qualifying,,
5,1,1,7,1,0,69,Race,0.0,0.0
4,1,1,5,0,0,70,FP1,,
0,0,0,0,0,0,70,FP2,,
2,1,1,5,0,0,70,FP3,,
1,0,1,2,0,0,70,Qualifying,,
6,1,1,15,1,0,70,Race,0.0,0.0
1,1,0,2,0,0,73,FP1,,
1,1,1,2,0,0,73,FP2,,
