race_id,driver_id,team_id,stop_number,stop_lap,pits_time
83,104,13,1,15,22.820
83,106,1,1,16,21.038
83,94,3,1,16,20.731
83,93,1,1,16,21.521
83,110,2,1,16,21.415
83,12,15,1,16,21.543
83,83,11,1,16,22.561
83,101,15,1,16,21.141
83,108,4,1,16,20.383
83,117,11,1,16,33.734
83,117,11,2,27,15.103
83,83,11,2,35,22.710
83,87,10,1,37,22.374
83,70,14,1,37,21.425
83,57,2,1,40,21.788
84,103,14,1,3,18.242
84,103,14,2,4,18.560
84,111,8,1,13,18.552
84,115,10,1,14,19.039
84,101,15,1,17,19.128
84,94,3,1,18,18.281
84,114,13,1,18,18.443
84,75,3,1,20,17.434
84,108,4,1,20,17.556
84,79,4,1,21,18.150
84,104,13,1,21,18.926
84,117,11,1,21,18.380
84,106,1,1,22,17.973
84,57,2,1,22,17.877
84,83,11,1,22,18.413
84,110,2,1,23,18.479
84,103,14,3,23,20.402
84,111,8,2,23,17.936
84,12,15,1,39,18.796
84,87,10,1,39,19.111
84,12,15,2,53,18.394
84,109,8,1,57,19.845
85,79,4,1,2,32.362
85,79,4,2,16,30.422
85,60,14,1,17,30.484
85,104,13,1,17,30.405
85,109,8,1,17,30.793
85,75,3,1,18,30.366
85,110,2,1,18,31.079
85,83,11,1,18,40.957
85,87,10,1,18,33.765
85,103,14,1,18,32.667
85,114,13,1,18,30.372
85,57,2,1,18,32.740
85,101,15,1,18,31.409
85,111,8,1,18,31.125
85,117,11,1,18,32.203
85,115,10,1,18,31.320
85,94,3,1,19,30.001
85,106,1,1,19,31.794
85,108,4,1,19,30.070
85,79,4,3,30,30.155
85,106,1,2,49,30.042
85,75,3,2,50,29.627
85,94,3,2,51,29.942
85,115,10,2,52,30.984
85,106,1,3,53,36.560
86,114,13,1,11,18.870
86,87,10,1,12,19.760
86,115,10,1,14,20.413
86,12,15,1,15,21.638
86,104,13,1,16,19.543
86,109,8,1,16,20.059
86,108,4,1,18,19.986
86,57,2,1,22,18.820
86,106,1,1,24,19.697
86,94,3,1,26,18.798
86,83,11,1,26,19.614
86,93,1,1,27,22.063
86,75,3,1,27,18.519
86,79,4,1,30,19.484
86,111,8,1,34,19.185
86,110,2,1,40,19.035
86,103,14,1,40,19.074
86,104,13,2,40,19.007
86,75,3,2,41,18.433
86,101,15,1,41,19.019
86,60,14,1,41,19.861
86,79,4,2,41,19.280
86,114,13,2,41,19.618
86,87,10,2,42,20.673
86,115,10,2,54,32.381
87,57,2,1,1,31.054
87,87,10,1,1,29.632
87,93,1,1,10,22.341
87,12,15,1,10,22.375
87,104,13,1,10,22.008
87,117,11,1,10,23.109
87,114,13,1,11,23.083
87,79,4,1,11,22.124
87,109,8,1,11,23.419
87,108,4,1,12,21.916
87,115,10,1,12,23.582
87,111,8,1,12,23.189
87,110,2,1,13,22.154
87,94,3,1,13,22.173
87,101,15,1,13,22.137
87,83,11,1,14,22.987
87,103,14,1,14,22.833
87,75,3,1,17,22.032
87,106,1,1,21,21.794
87,60,14,1,21,22.536
87,57,2,2,22,22.105
87,109,8,2,25,22.657
87,111,8,2,26,22.311
87,103,14,2,27,23.394
87,94,3,2,28,21.966
87,104,13,2,29,27.947
87,87,10,2,29,23.878
87,115,10,2,30,23.127
87,93,1,2,31,21.867
87,12,15,2,31,21.914
87,79,4,2,31,22.399
87,114,13,2,32,22.802
87,108,4,2,33,23.341
87,83,11,2,34,22.541
87,101,15,2,35,22.953
87,110,2,2,36,22.039
87,75,3,2,37,21.619
87,60,14,2,42,22.456
87,94,3,3,44,21.941
87,93,1,3,45,22.302
87,109,8,3,45,23.328
87,104,13,3,46,21.838
87,103,14,3,46,23.812
87,57,2,3,48,22.241
87,79,4,3,48,22.154
87,110,2,3,51,22.815
87,111,8,3,50,22.761
