driver_name,driver_id,race_id,session,avg_pace_soft,std_pace_soft,laps_on_soft,deg_rate_soft,avg_pace_medium,std_pace_medium,laps_on_medium,deg_rate_medium,avg_pace_hard,std_pace_hard,laps_on_hard,deg_rate_hard,avg_pace_intermediate,std_pace_intermediate,laps_on_intermediate,deg_rate_intermediate,avg_pace_wet,std_pace_wet,laps_on_wet,deg_rate_wet
OCO,101.0,1,FP2,102.59025,22.80550341885704,4,15.854299999999997,,,0,,,,0,,,,0,,,,0,
PER,75.0,1,FP2,89.76833333333333,0.6748660772495674,3,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,1,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,1,FP2,90.65585714285716,2.619973087570144,7,-0.09767857142857193,,,0,,,,0,,,,0,,,,0,
SAI,93.0,1,FP2,97.175625,16.517912965455867,8,3.5722,,,0,,,,0,,,,0,,,,0,
SIR,107.0,1,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,1,FP2,90.64977777777777,0.5227308161691241,9,-0.027832558139533982,,,0,,,,0,,,,0,,,,0,
VAN,100.0,1,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,1,FP2,89.64809999999999,1.5865203717570098,10,0.12676859504132204,,,0,,,,0,,,,0,,,,0,
VET,60.0,1,FP2,96.027375,17.871882154221332,8,3.269208067940553,,,0,,,,0,,,,0,,,,0,
ERI,89.0,1,FP3,,,0,,,,0,,,,0,,110.197,13.987000000000002,2,,,,0,
GAS,104.0,1,FP3,,,0,,,,0,,,,0,,103.67599999999999,8.686,2,,,,0,
GRO,67.0,1,FP3,,,0,,,,0,,,,0,,101.694,5.631082725965467,3,,,,0,
HAM,57.0,1,FP3,,,0,,,,0,,,,0,,101.46199999999999,1.7749999999999986,2,,,,0,
HAR,105.0,1,FP3,,,0,,,,0,,,,0,,95.438,0.0,1,,,,0,
LEC,106.0,1,FP3,,,0,,,,0,,,,0,,96.448,0.0,1,,,,0,
MAG,87.0,1,FP3,,,0,,,,0,,,,0,,99.73675,3.6763645340879894,4,0.7813000000000013,,,0,
RAI,6.0,1,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,1,FP3,,,0,,,,0,,,,0,,94.043,0.0,1,,,,0,
