race_id,driver_id,team_id,session_type,lap_time,lap_count,position
6,70,13,practice3,+1.326s,26,14
6,12,2,practice3,+1.493s,25,15
6,103,11,practice3,+1.809s,26,16
6,106,3,practice3,+1.858s,25,17
6,67,28,practice3,+2.095s,21,18
6,87,28,practice3,+2.406s,20,19
6,89,3,practice3,+2.435s,28,20
7,111,20,practice1,+3.843s,28,19
7,94,14,practice3,1:11.599,14,1
7,60,1,practice3,+0.049s,22,2
7,6,1,practice3,+0.051s,21,3
7,57,22,practice3,+0.107s,23,4
7,79,14,practice3,+0.554s,29,5
7,83,22,practice3,+0.656s,27,6
7,75,20,practice3,+1.304s,16,7
7,70,13,practice3,+1.347s,21,8
7,67,28,practice3,+1.415s,16,9
7,100,2,practice3,+1.435s,21,10
7,101,20,practice3,+1.465s,18,11
7,105,16,practice3,+1.477s,24,12
7,12,2,practice3,+1.626s,19,13
7,93,13,practice3,+1.732s,22,14
7,104,16,practice3,+1.735s,19,15
7,106,3,practice3,+1.853s,19,16
7,87,28,practice3,+1.889s,21,17
7,107,11,practice3,+2.219s,18,18
7,89,3,practice3,+2.326s,20,19
7,103,11,practice3,+2.369s,17,20
8,83,22,practice3,1:33.666,3,1
8,93,13,practice3,+1.287s,3,2
8,106,3,practice3,+1.346s,5,3
8,12,2,practice3,+2.699s,4,4
8,60,1,practice3,+3.090s,5,5
8,100,2,practice3,+3.881s,4,6
8,104,16,practice3,+4.651s,5,7
8,89,3,practice3,+4.784s,3,8
8,75,20,practice3,+5.975s,4,9
8,79,14,practice3,+6.072s,3,10
8,101,20,practice3,+6.421s,4,11
8,57,22,practice3,+7.077s,3,12
8,6,1,practice3,+16.045s,3,13
8,103,11,practice3,+28.733s,4,14
8,107,11,practice3,+30.427s,5,15
8,87,28,practice3,,1,16
8,105,16,practice3,,3,17
8,67,28,practice3,,1,18
8,70,13,practice3,,2,19
8,94,14,practice3,,3,20
9,56,11,practice1,+2.585s,38,20
9,60,1,practice3,1:04.070,22,1
9,57,22,practice3,+0.029s,24,2
9,83,22,practice3,+0.134s,24,3
9,6,1,practice3,+0.400s,22,4
9,94,14,practice3,+0.721s,14,5
9,79,14,practice3,+0.821s,18,6
9,67,28,practice3,+0.846s,17,7
9,87,28,practice3,+0.943s,16,8
9,93,13,practice3,+1.016s,22,9
9,106,3,practice3,+1.149s,25,10
9,70,13,practice3,+1.158s,19,11
9,104,16,practice3,+1.194s,25,12
9,101,20,practice3,+1.374s,21,13
9,12,2,practice3,+1.378s,19,14
9,75,20,practice3,+1.432s,24,15
9,89,3,practice3,+1.629s,27,16
9,105,16,practice3,+1.635s,23,17
9,100,2,practice3,+1.767s,16,18
9,103,11,practice3,+1.959s,23,19
9,107,11,practice3,+2.248s,22,20
10,57,22,practice3,1:26.722,15,1
10,6,1,practice3,+0.093s,14,2
10,83,22,practice3,+0.642s,17,3
10,60,1,practice3,+1.129s,8,4
10,94,14,practice3,+1.290s,22,5
10,79,14,practice3,+1.296s,15,6
10,106,3,practice3,+1.424s,18,7
10,87,28,practice3,+1.696s,16,8
10,67,28,practice3,+1.832s,18,9
10,89,3,practice3,+2.092s,17,10
10,101,20,practice3,+2.195s,14,11
10,75,20,practice3,+2.344s,15,12
10,12,2,practice3,+2.348s,17,13
10,70,13,practice3,+2.372s,12,14
10,93,13,practice3,+2.411s,15,15
10,103,11,practice3,+3.107s,13,16
10,107,11,practice3,+3.262s,17,17
10,100,2,practice3,+3.282s,17,18
10,104,16,practice3,+3.328s,4,19
10,105,16,practice3,,3,20
11,111,20,practice1,+2.498s,27,17
11,102,3,practice1,+2.611s,23,19
11,106,3,practice3,1:34.577,8,1
11,89,3,practice3,+0.423s,9,2
11,107,11,practice3,+0.757s,9,3
11,60,1,practice3,+0.996s,5,4
11,104,16,practice3,+1.082s,6,5
11,105,16,practice3,+1.574s,6,6
11,70,13,practice3,+2.296s,4,7
11,6,1,practice3,+3.178s,4,8
11,103,11,practice3,+3.816s,7,9
