driver_name,driver_id,race_id,session,avg_pace_soft,std_pace_soft,laps_on_soft,deg_rate_soft,avg_pace_medium,std_pace_medium,laps_on_medium,deg_rate_medium,avg_pace_hard,std_pace_hard,laps_on_hard,deg_rate_hard,avg_pace_intermediate,std_pace_intermediate,laps_on_intermediate,deg_rate_intermediate,avg_pace_wet,std_pace_wet,laps_on_wet,deg_rate_wet
GRO,67.0,1,FP1,91.0306,5.184853540843752,15,0.015423239809423,,,0,,,,0,,,,0,,,,0,
HAM,57.0,1,FP1,93.15221428571432,12.186639986820294,14,-0.5543156996587032,,,0,,,,0,,,,0,,,,0,
HAR,105.0,1,FP1,94.546,7.9377110995550835,4,0.3496000000000006,89.755,1.4469999999999956,2,,,,0,,,,0,,,,0,
HUL,70.0,1,FP1,97.92091666666666,13.06514872640398,12,0.085310456011055,95.6845,8.341628513066256,4,-4.386199999999999,,,0,,,,0,,,,0,
LEC,106.0,1,FP1,95.9479,13.245346952420688,20,-0.9719893230451748,,,0,,,,0,,,,0,,,,0,
MAG,87.0,1,FP1,99.78871428571428,17.68519357068656,7,-2.2197850162866457,,,0,,,,0,,,,0,,,,0,
OCO,101.0,1,FP1,94.49657894736843,10.18733832453326,19,-0.2879690679452697,,,0,,,,0,,,,0,,,,0,
PER,75.0,1,FP1,92.44986666666668,6.433707379799682,15,-0.2679653846153844,,,0,,,,0,,,,0,,,,0,
RAI,6.0,1,FP1,,,0,,92.0315,7.204073614976461,10,-0.0398042929292925,,,0,,,,0,,,,0,
RIC,79.0,1,FP1,95.1734,11.828264811036318,10,-0.6823118157795395,,,0,,,,0,,,,0,,,,0,
SAI,93.0,1,FP1,95.78919999999998,14.31028414672469,10,-1.0716302428256066,,,0,,,,0,,,,0,,,,0,
SIR,107.0,1,FP1,97.5867,13.681909603925908,10,-0.6775689948892681,,,0,,,,0,,,,0,,,,0,
STR,103.0,1,FP1,95.02275,9.1846395240913,16,-0.8828888631895455,,,0,,,,0,,,,0,,,,0,
VAN,100.0,1,FP1,,,0,,91.086,4.529644412092411,8,0.0471932773109237,,,0,,,,0,,,,0,
VER,94.0,1,FP1,97.36923529411764,15.48316231390585,17,-0.2071172695449242,,,0,,,,0,,,,0,,,,0,
VET,60.0,1,FP1,91.1934285714286,4.987276091848789,7,-0.5951348684210535,85.911,0.0,1,,,,0,,,,0,,,,0,
ALO,12.0,1,FP2,91.7425,4.89983134913846,4,-0.2183342318059301,90.89266666666668,2.3049085785678267,3,,,,0,,,,0,,,,0,
BOT,83.0,1,FP2,93.98966666666666,11.177861632113125,9,-2.369099999999999,93.62377777777778,13.134873554166806,9,-1.5452333333333337,,,0,,,,0,,,,0,
ERI,89.0,1,FP2,95.8316875,13.636022741798426,16,-1.3529884033613446,,,0,,,,0,,,,0,,,,0,
GAS,104.0,1,FP2,95.873,12.897430085098346,10,-2.3760930735930725,90.27445454545456,0.6614149245967624,11,-0.096472727272727,,,0,,,,0,,,,0,
GRO,67.0,1,FP2,91.6648,4.616836611071841,15,-0.0307890975336326,,,0,,,,0,,,,0,,,,0,
HAM,57.0,1,FP2,94.56723529411768,16.052836086350126,17,-1.3835692624939355,,,0,,,,0,,,,0,,,,0,
HAR,105.0,1,FP2,96.14505263157892,16.09188666271457,19,0.2122366844207724,,,0,,,,0,,,,0,,,,0,
HUL,70.0,1,FP2,92.2041111111111,8.613253275485073,18,-0.7675854482194022,,,0,,,,0,,,,0,,,,0,
LEC,106.0,1,FP2,,,0,,95.8839411764706,13.829959582564344,17,-1.193635383678441,,,0,,,,0,,,,0,
MAG,87.0,1,FP2,91.92133333333332,4.264350126338129,9,-0.0141071428571423,89.42900000000002,0.2603164740592968,3,,,,0,,,,0,,,,0,
OCO,101.0,1,FP2,92.328,6.694411732515742,9,-0.2324879421221865,89.42366666666668,0.1377735662438731,3,,,,0,,,,0,,,,0,
PER,75.0,1,FP2,94.02522222222224,8.03467797567765,9,-0.5933353040540535,89.76833333333333,0.6748660772495674,3,,,,0,,,,0,,,,0,
RAI,6.0,1,FP2,89.76711764705883,2.444307236930766,17,0.0746911951684681,,,0,,,,0,,,,0,,,,0,
RIC,79.0,1,FP2,96.8104,16.360073038956767,5,-6.041108108108107,96.338125,15.232314420644522,8,-2.205675390766994,,,0,,,,0,,,,0,
SAI,93.0,1,FP2,96.08577777777776,14.17565700439217,9,-2.816466129032256,91.14957142857143,4.616516585885413,7,0.5153698630136982,,,0,,,,0,,,,0,
SIR,107.0,1,FP2,91.43284615384616,1.8360480489000888,13,-0.0485793257312844,,,0,,,,0,,,,0,,,,0,
STR,103.0,1,FP2,100.683,18.07892113761217,4,8.331857142857144,90.64977777777776,0.5227308161691241,9,-0.0278325581395339,,,0,,,,0,,,,0,
VAN,100.0,1,FP2,93.9562142857143,13.657949789557785,14,-0.7113771929824556,,,0,,,,0,,,,0,,,,0,
VER,94.0,1,FP2,89.284,0.996608624285382,8,0.0842380952380953,92.8240909090909,10.156643490432042,11,-1.2511021021021027,,,0,,,,0,,,,0,
VET,60.0,1,FP2,94.16775,11.936055470191985,8,-1.582933920704846,89.30428571428571,1.85307926854471,7,-0.3821506849315062,,,0,,,,0,,,,0,
ERI,89.0,1,FP3,88.89,0.0,1,,,,0,,,,0,,119.11366666666667,17.012877521323535,3,,,,0,
GAS,104.0,1,FP3,130.93,0.0,1,,,,0,,,,0,,103.676,8.686,2,,,,0,
GRO,67.0,1,FP3,,,0,,,,0,,,,0,,101.694,5.631082725965467,3,,,,0,
HAM,57.0,1,FP3,,,0,,,,0,,,,0,,112.27533333333332,15.360884486976069,3,,,,0,
HAR,105.0,1,FP3,,,0,,,,0,,,,0,,95.438,0.0,1,,,,0,
LEC,106.0,1,FP3,,,0,,,,0,,,,0,,96.448,0.0,1,,,,0,
MAG,87.0,1,FP3,,,0,,,,0,,,,0,,99.73675,3.676364534087989,4,0.7813000000000013,,,0,
RAI,6.0,1,FP3,88.499,0.0,1,,,,0,,,,0,,144.945,0.0,1,,,,0,
RIC,79.0,1,FP3,,,0,,,,0,,,,0,,112.9295,18.8865,2,,,,0,
SAI,93.0,1,FP3,,,0,,,,0,,,,0,,107.08033333333331,15.454360815712246,3,,,,0,
SIR,107.0,1,FP3,,,0,,,,0,,,,0,,108.5734,15.529241598996387,5,-0.235599999999999,134.572,0.0,1,
STR,103.0,1,FP3,,,0,,,,0,,,,0,,105.6135,10.450759234779706,6,0.6252285714285708,,,0,
VAN,100.0,1,FP3,,,0,,,,0,,,,0,,94.233,0.0,1,,,,0,
VER,94.0,1,FP3,,,0,,,,0,,,,0,,113.1325,21.4525,2,,,,0,
VET,60.0,1,FP3,86.067,0.0,1,,,,0,,,,0,,95.912,0.0,1,,,,0,
BOT,83.0,1,Qualifying,124.546,0.0,1,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,1,Qualifying,120.4,0.0,1,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,1,Qualifying,83.339,0.0,1,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,1,Qualifying,100.4995,18.899878471831503,4,-4.100900000000001,,,0,,,,0,,,,0,,,,0,
HAR,105.0,1,Qualifying,120.85,0.0,1,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,1,Qualifying,83.532,0.0,1,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,1,Qualifying,83.187,0.0,1,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,1,Qualifying,82.0395,0.2115000000000009,2,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,1,Qualifying,102.742,20.56611036389721,4,-3.851862796833774,,,0,,,,0,,,,0,,,,0,
SAI,93.0,1,Qualifying,83.577,0.0,1,,,,0,,,,0,,,,0,,,,0,
SIR,107.0,1,Qualifying,122.86,0.0,1,,,,0,,,,0,,,,0,,,,0,
VER,94.0,1,Qualifying,103.93775,22.47814987243167,4,-2.8267479999999985,,,0,,,,0,,,,0,,,,0,
VET,60.0,1,Qualifying,81.9615,0.1234999999999999,2,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,1,Race,93.5404,12.564888373559077,15,1.3344890416047548,91.0216551724138,10.926131997775704,29,-0.6634959712791192,,,0,,,,0,,,,0,
BOT,83.0,1,Race,91.61018181818184,9.727884585684428,44,-0.1438927432998352,,,0,,,,0,,,,0,,,,0,
GAS,104.0,1,Race,90.9568,0.2466352772820636,5,-0.141567567567568,,,0,,,,0,,,,0,,,,0,
GRO,67.0,1,Race,89.95407142857144,0.2165833604892504,14,-0.0048747531734837,,,0,,,,0,,,,0,,,,0,
HAM,57.0,1,Race,88.3975,0.4545193615237956,10,-0.1369280719280713,92.84173529411764,15.0104936966832,34,-0.5995670318535874,,,0,,,,0,,,,0,
HAR,105.0,1,Race,93.4376551724138,10.623035670024422,29,-0.7685863051934557,91.15969230769232,0.2356116049823668,13,0.0076116811365431,,,0,,,,0,,,,0,
HUL,70.0,1,Race,90.03614285714285,0.1878186272303499,14,-0.0168778561354016,92.01326666666668,11.487183315717084,30,-0.7487882944415499,,,0,,,,0,,,,0,
LEC,106.0,1,Race,91.01502564102564,6.321418842224402,39,-0.0716579641105014,116.61849999999998,23.0275,2,,,,0,,,,0,,,,0,
MAG,87.0,1,Race,90.12838461538462,0.2721341689629568,13,-0.038587883320867,,,0,,,,0,,,,0,,,,0,
OCO,101.0,1,Race,90.71064285714286,0.3739355573095551,14,-0.0696307692307691,92.65426666666666,10.600671544555825,30,-0.6923674711178717,,,0,,,,0,,,,0,
PER,75.0,1,Race,90.62507142857142,0.2680171807621187,14,-0.006956213017751,91.13858620689656,9.127153552269531,29,-0.5602219045453068,,,0,,,,0,,,,0,
RAI,6.0,1,Race,88.58833333333334,0.4557028759083182,9,-0.1396367647058829,93.55048571428571,15.141172629378907,35,-0.6586429326929947,,,0,,,,0,,,,0,
RIC,79.0,1,Race,93.0416,11.796688545519885,15,1.3147271545319468,90.46179310344829,11.694080976640636,29,-0.6794104909191334,,,0,,,,0,,,,0,
SAI,93.0,1,Race,90.20053846153846,0.1963578426416005,13,-0.0362187733732235,92.3251,11.062460272923015,30,-0.7300149699333888,,,0,,,,0,,,,0,
STR,103.0,1,Race,90.28151219512196,1.0759056337700383,41,-0.050870227621772,126.09799999999998,2.244999999999997,2,,,,0,,,,0,,,,0,
VAN,100.0,1,Race,91.71146511627909,9.997983132307208,43,-0.162678835197299,,,0,,,,0,,,,0,,,,0,
VER,94.0,1,Race,90.07433333333331,0.1899260089847848,12,-0.022253036437247,90.96955172413794,10.729423118426316,29,-0.6417920497741965,,,0,,,,0,,,,0,
VET,60.0,1,Race,91.036625,8.803514084408283,16,0.8159306930693068,93.23258064516126,15.921258881524684,31,-1.032608016443988,,,0,,,,0,,,,0,
ALO,12.0,9,FP1,,,0,,76.66310526315789,12.53557892306088,19,0.5731353807583831,,,0,,,,0,,,,0,
BOT,83.0,9,FP1,76.862,14.246558940746848,23,0.738794582714922,,,0,,,,0,,,,0,,,,0,
ERI,89.0,9,FP1,77.27878571428572,11.83626543526638,14,0.3214635325981816,125.245,0.0,1,,,,0,,,,0,,,,0,
GAS,104.0,9,FP1,77.09029411764705,14.691116718714971,17,0.8280319624152802,,,0,,,,0,,,,0,,,,0,
GRO,67.0,9,FP1,71.70993333333334,6.610317747951977,15,-0.4805530799475758,,,0,,,,0,,,,0,,,,0,
HAM,57.0,9,FP1,74.62835000000001,12.90642379311558,20,0.2250251157819737,,,0,,,,0,,,,0,,,,0,
HAR,105.0,9,FP1,78.20519047619048,14.46278261647246,21,-0.571605542853612,,,0,,,,0,,,,0,,,,0,
HUL,70.0,9,FP1,74.41729411764707,12.272966225502223,17,-0.5163425324675324,,,0,,,,0,,,,0,,,,0,
KUB,56.0,9,FP1,75.05909090909091,9.922328002627989,22,0.5240720670195241,,,0,,,,0,,,,0,,,,0,
LEC,106.0,9,FP1,79.06575000000001,12.56999982846062,12,0.598284140969163,112.485,0.2890000000000015,2,,,,0,,,,0,,,,0,
MAG,87.0,9,FP1,74.24839999999999,8.167890317578951,10,0.2999878787878796,,,0,,,,0,,,,0,,,,0,
OCO,101.0,9,FP1,74.88881818181818,11.317803025789877,22,0.2654934801918635,,,0,,,,0,,,,0,,,,0,
PER,75.0,9,FP1,74.03760869565217,10.509009078091172,23,0.1768854399701714,,,0,,,,0,,,,0,,,,0,
RAI,6.0,9,FP1,71.25978571428571,10.926446476185143,14,-1.0264748620961384,,,0,,,,0,,,,0,,,,0,
RIC,79.0,9,FP1,84.831,21.03264881876112,6,7.448399999999995,66.42,0.0,1,,,,0,,,,0,,,,0,
SAI,93.0,9,FP1,82.51515384615385,16.116945119231854,13,-0.7471193255512328,,,0,,,,0,,,,0,,,,0,
STR,103.0,9,FP1,78.97884615384615,15.232859041943373,13,1.8179225882352943,,,0,,,,0,,,,0,,,,0,
VAN,100.0,9,FP1,72.7825,7.635387842146592,8,0.7255652173913044,,,0,,,,0,,,,0,,,,0,
VER,94.0,9,FP1,73.71179166666667,9.477363922258688,24,0.203174279132576,,,0,,,,0,,,,0,,,,0,
VET,60.0,9,FP1,82.317625,18.150278361760048,16,0.4151697080291969,,,0,,,,0,,,,0,,,,0,
ALO,12.0,9,FP2,72.73766666666666,6.31444465755567,18,-0.2792983642763477,,,0,,,,0,,,,0,,,,0,
BOT,83.0,9,FP2,73.26758620689654,8.704297394914773,29,-0.2894149706944655,,,0,,,,0,,,,0,,,,0,
ERI,89.0,9,FP2,76.71982352941177,13.026894181948425,17,-1.04782631748072,,,0,,,,0,,,,0,,,,0,
GAS,104.0,9,FP2,73.1586,8.668359137691517,20,0.2836436781609195,,,0,,,,0,,,,0,,,,0,
GRO,67.0,9,FP2,72.06609523809523,6.171451746355665,21,-0.3225577155276506,,,0,,,,0,,,,0,,,,0,
HAM,57.0,9,FP2,73.19315384615385,10.151948155942618,13,0.6222089999999998,75.53946153846152,14.240452902344972,13,-0.2482603926629181,,,0,,,,0,,,,0,
HAR,105.0,9,FP2,71.64605714285713,4.515671644034217,35,-0.0816148771635055,,,0,,,,0,,,,0,,,,0,
HUL,70.0,9,FP2,70.71078787878788,4.901934292041197,33,-0.1138473285444631,,,0,,,,0,,,,0,,,,0,
