race_id,driver_id,team_id,avg_pit_time_last_5,avg_pit_time_last_10
-30,97,5,26.9212,27.2283
-30,98,7,27.6526,28.6866
-30,100,4,26.549599999999998,28.192200000000003
-30,101,6,25.569,26.6584
-30,103,8,25.5588,27.561799999999998
-29,6,1,23.496199999999998,24.0636
-29,12,4,24.097,26.2751
-29,30,8,23.1544,25.5985
-29,57,2,21.096799999999998,22.6406
-29,60,1,24.110000000000003,23.8962
-29,67,10,21.5884,22.892899999999997
-29,70,5,25.896000000000004,30.6492
-29,75,6,22.173,24.3885
-29,79,3,23.272399999999998,24.6351
-29,83,2,25.919,25.3726
-29,87,10,23.563799999999997,25.504600000000003
-29,89,7,24.8692,25.0735
-29,93,9,22.7818,25.4364
-29,98,7,28.3978,27.4214
-29,100,4,20.755399999999998,25.200200000000002
-29,101,6,21.872999999999998,23.914099999999998
-29,103,8,24.788999999999998,25.2878
-28,6,1,19.678199999999997,23.1179
-28,12,4,22.229400000000002,25.3219
-28,57,2,22.234199999999998,22.909399999999998
-28,60,1,23.5792,25.1873
-28,67,10,20.686,22.910800000000002
-28,70,5,24.315800000000003,29.140499999999996
-28,75,6,20.3598,22.965
-28,79,3,21.663400000000003,23.7124
-28,83,2,24.3784,24.3272
-28,87,10,22.0078,24.0042
-28,88,9,23.7476,25.5229
-28,89,7,25.043599999999998,24.6719
-28,97,5,25.3602,26.8958
-28,98,7,32.4944,29.893600000000003
-28,100,4,18.9772,24.2058
-28,101,6,23.716199999999997,24.166400000000003
-28,103,8,23.493599999999997,24.2621
-27,6,1,20.0978,22.4566
-27,14,4,24.465,24.465
-27,30,8,21.8798,23.9955
-27,57,2,21.299799999999998,22.3689
-27,60,1,23.8982,25.2775
-27,67,10,22.532,23.7439
-27,75,6,21.9594,23.1958
-27,79,3,20.7432,23.077499999999997
-27,83,2,23.395999999999997,23.7129
-27,87,10,23.493199999999998,23.4007
-27,88,9,39.2964,33.9159
-27,89,7,25.0336,24.5456
-27,93,9,20.956,23.6641
-27,94,3,28.064799999999998,27.4232
-27,97,5,24.043200000000002,26.2596
-27,98,7,31.1104,30.014000000000003
-27,100,4,19.2878,22.9187
-27,101,6,23.784399999999998,24.2872
-27,103,8,21.7528,23.6558
-26,12,4,21.178199999999997,23.0785
-26,30,8,25.4826,24.3185
-26,57,2,22.2038,22.3626
-26,60,1,26.2126,25.1613
-26,67,10,23.6682,23.957100000000004
-26,70,5,21.626399999999997,24.2297
-26,75,6,28.026999999999997,24.1934
-26,79,3,20.927200000000003,22.369999999999997
-26,83,2,23.7802,23.7709
-26,87,10,25.281,23.644399999999997
-26,88,9,38.675399999999996,34.018600000000006
-26,89,7,24.3896,24.618000000000002
-26,93,9,20.904799999999998,23.0692
-26,97,5,23.6098,25.2655
-26,98,7,31.801800000000004,29.609200000000005
-26,100,4,21.0002,22.7061
-26,101,6,23.8924,23.8043
-26,103,8,22.431,23.610000000000003
-25,6,1,20.416999999999998,22.6436
-25,30,8,28.2032,25.0415
-25,57,2,23.5014,22.299100000000003
-25,60,1,24.8106,24.555699999999998
-25,70,5,21.7034,24.0241
-25,75,6,28.0026,23.6099
-25,83,2,20.8656,23.6435
-25,87,10,24.517599999999998,23.7759
-25,88,9,38.644,31.676499999999997
-25,89,7,25.400199999999998,25.221899999999998
-25,93,9,20.9598,22.2533
-25,94,3,28.3658,27.5585
-25,98,7,31.2966,28.961199999999998
-25,100,4,24.2068,22.4811
-25,101,6,23.7392,23.1492
-25,103,8,23.7798,23.6367
-24,6,1,25.735000000000003,23.2623
-24,12,4,23.482999999999997,22.8562
-24,30,8,26.181,25.747899999999998
-24,57,2,25.569399999999998,23.4346
-24,60,1,24.7822,24.3402
-24,67,10,25.299599999999998,22.9928
-24,70,5,25.706,25.0109
-24,75,6,27.5748,24.7671
-24,79,3,23.3066,22.485000000000003
-24,83,2,25.3334,24.855900000000002
-24,88,9,24.7906,32.043499999999995
-24,89,7,26.721799999999995,25.877699999999997
-24,93,9,22.7464,22.7641
-24,94,3,27.5582,28.1729
-24,97,5,24.721799999999998,24.3825
-24,98,7,27.105,29.7997
-24,101,6,24.9636,24.374000000000002
-24,103,8,25.18,23.6309
-23,6,1,22.289,22.8633
-23,12,4,21.700200000000002,21.6098
-23,30,8,19.7192,23.1449
-23,57,2,23.944200000000002,23.9942
-23,60,1,19.8612,22.3217
-23,67,10,22.87,24.084799999999998
-23,70,5,20.148400000000002,22.927200000000003
-23,75,6,20.008000000000003,22.7059
-23,79,3,21.789,21.530099999999997
-23,83,2,23.972199999999997,23.3138
-23,87,10,22.452199999999998,23.4849
-23,88,9,21.822,31.423299999999994
-23,89,7,23.770000000000003,24.5851
-23,93,9,21.405,21.182399999999998
-23,94,3,22.5768,25.4713
-23,97,5,21.1538,22.633499999999998
-23,100,4,25.154,23.189500000000002
-23,101,6,22.0782,23.5209
-23,102,7,29.2836,29.2836
-22,6,1,21.6268,23.6809
-22,12,4,20.1762,21.8296
-22,30,8,19.598000000000003,23.09
-22,57,2,22.3404,23.954900000000002
-22,60,1,19.487,22.135399999999997
-22,70,5,23.0662,24.3292
-22,75,6,19.797800000000002,22.4956
-22,83,2,23.162,24.2477
-22,87,10,21.3384,23.8629
-22,88,9,20.3082,22.6334
-22,93,9,19.9784,21.3624
-22,94,3,21.1644,24.3613
-22,100,4,22.6112,23.409
-22,101,6,21.7624,23.349300000000003
-22,102,7,29.443,29.443
-22,103,8,24.234,23.384999999999998
-21,6,1,20.4846,23.3541
-21,12,4,19.363999999999997,21.6992
-21,30,8,21.337600000000002,21.44
-21,51,2,23.753,23.753
-21,57,2,20.466,23.8159
-21,60,1,20.174799999999998,22.024700000000003
-21,67,10,20.956,23.0981
-21,70,6,25.1252,23.5643
-21,75,6,21.5228,21.5334
-21,79,3,20.6044,22.144600000000004
-21,82,10,22.032,22.032
-21,87,5,22.317,23.8115
-21,88,9,20.310200000000002,22.8125
-21,89,7,21.1078,23.914800000000003
-21,92,7,23.272,23.272
-21,93,9,20.2154,21.775399999999998
-21,94,3,20.571199999999997,23.6674
-21,97,5,21.1022,22.42
-21,98,18,29.0894,30.445600000000002
-21,101,18,20.767400000000002,23.4423
-20,12,4,20.352800000000002,21.5886
